Latitude,Longitude
53.525738,-2.219996
53.522312,-2.220898
53.521934,-2.221183
53.520381,-2.220179
53.524904,-2.218951
53.521934,-2.221183
53.522869,-2.215923
53.521099,-2.220862
53.522869,-2.215923
53.522412,-2.22022
53.52296,-2.225396
53.52085,-2.219277
53.521612,-2.224997
53.522216,-2.219299
53.522598,-2.211985
53.52296,-2.225396
53.521612,-2.224997
53.521934,-2.221183
53.522869,-2.215923
53.520388,-2.216333
53.519793,-2.216949
53.520909,-2.216502
53.524904,-2.218951
53.520909,-2.216502
53.520909,-2.216502
53.520072,-2.221837
53.520909,-2.216502
53.521934,-2.221183
53.519356,-2.215468
53.522869,-2.215923
53.520072,-2.221837
53.520007,-2.21802
53.522617,-2.216088
53.522617,-2.216088
53.519793,-2.216949
53.530252,-2.198718
53.526966,-2.201388
53.52927,-2.199784
53.530679,-2.195763
53.530679,-2.195763
53.526715,-2.19582
53.529819,-2.199531
53.529819,-2.199531
53.526715,-2.19582
53.526966,-2.201388
53.526966,-2.201388
53.52927,-2.199784
53.531022,-2.195101
53.52927,-2.199784
53.520369,-2.20116
53.524291,-2.194316
53.520369,-2.20116
53.520678,-2.193922
53.522516,-2.196857
53.522516,-2.196857
53.524952,-2.196868
53.52229,-2.191742
53.52229,-2.191742
53.522516,-2.196857
53.524291,-2.194316
53.520678,-2.193922
53.524291,-2.194316
53.521128,-2.193728
53.52229,-2.191742
53.52229,-2.191742
53.521128,-2.193728
53.522516,-2.196857
53.52229,-2.191742
53.521128,-2.193728
53.521616,-2.19177
53.521128,-2.193728
53.521382,-2.168134
53.522877,-2.172499
53.521794,-2.175451
53.522746,-2.176329
53.526586,-2.174505
53.522746,-2.176329
53.52308,-2.168593
53.524351,-2.172263
53.522877,-2.172499
53.52308,-2.168593
53.524351,-2.172263
53.523568,-2.173316
53.52308,-2.168593
53.523568,-2.173316
53.524351,-2.172263
53.526075,-2.1739
53.522413,-2.169857
53.521883,-2.176341
53.52308,-2.168593
53.522877,-2.172499
53.52308,-2.168593
53.523807,-2.175655
53.524721,-2.171586
53.524351,-2.172263
53.520781,-2.179956
53.522366,-2.183854
53.522366,-2.183854
53.522366,-2.183854
53.52194,-2.179886
53.520482,-2.181614
53.520482,-2.181614
53.522366,-2.183854
53.522939,-2.179166
53.522769,-2.178999
53.525196,-2.178557
53.522366,-2.183854
53.525196,-2.178557
53.522366,-2.183854
53.522366,-2.183854
53.522366,-2.183854
53.520482,-2.181614
53.522769,-2.178999
53.520882,-2.183953
53.520882,-2.183953
53.522366,-2.183854
53.520482,-2.181614
53.525196,-2.178557
53.525246,-2.18088
53.525592,-2.184155
53.525246,-2.18088
53.526779,-2.183662
53.526521,-2.181957
53.525246,-2.18088
53.526779,-2.183662
53.525995,-2.185047
53.525246,-2.18088
53.523375,-2.187705
53.528684,-2.190127
53.528684,-2.190127
53.523088,-2.187236
53.523784,-2.19098
53.523784,-2.19098
53.521717,-2.190654
53.527773,-2.191933
53.528684,-2.190127
53.527773,-2.191933
53.523784,-2.19098
53.528684,-2.190127
53.523784,-2.19098
53.528684,-2.190127
53.523375,-2.187705
53.523375,-2.187705
53.523335,-2.184703
53.527773,-2.191933
53.523784,-2.19098
53.528684,-2.190127
53.527773,-2.191933
53.528684,-2.190127
53.523784,-2.19098
53.528684,-2.190127
53.527142,-2.233082
53.532115,-2.236745
53.532115,-2.236745
53.526224,-2.233891
53.525606,-2.232741
53.525606,-2.232741
53.528651,-2.233995
53.532115,-2.236745
53.526976,-2.235675
53.532115,-2.236745
53.524696,-2.238453
53.532115,-2.236745
53.532115,-2.236745
53.532115,-2.236745
53.526976,-2.235675
53.532115,-2.236745
53.532115,-2.236745
53.528348,-2.23244
53.527142,-2.233082
53.532115,-2.236745
53.526787,-2.235614
53.527094,-2.230487
53.528985,-2.246684
53.533018,-2.243554
53.528985,-2.246684
53.533018,-2.243554
53.536752,-2.241569
53.521566,-2.244137
53.528985,-2.246684
53.533018,-2.243554
53.533018,-2.243554
53.525226,-2.247205
53.536506,-2.243348
53.526408,-2.245281
53.533018,-2.243554
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.525674,-2.248233
53.528985,-2.246684
53.533018,-2.243554
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.533018,-2.243554
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.525674,-2.248233
53.528985,-2.246684
53.533018,-2.243554
53.528985,-2.246684
53.528985,-2.246684
53.533018,-2.243554
53.528985,-2.246684
53.533018,-2.243554
53.528985,-2.246684
53.536506,-2.243348
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.533018,-2.243554
